areaType,areaName,areaCode,date,newAdmissions,cumAdmissions
nation,England,E92000001,28/12/2020,2795,234024
nation,England,E92000001,27/12/2020,2572,231229
nation,England,E92000001,26/12/2020,2298,228657
nation,England,E92000001,25/12/2020,1952,226359
nation,England,E92000001,24/12/2020,1795,224407
nation,England,E92000001,23/12/2020,1980,222612
nation,England,E92000001,22/12/2020,2203,220632
nation,England,E92000001,21/12/2020,2115,218429
nation,England,E92000001,20/12/2020,1976,216314
nation,England,E92000001,19/12/2020,1812,214338
nation,England,E92000001,18/12/2020,1672,212526
nation,England,E92000001,17/12/2020,1873,210854
nation,England,E92000001,16/12/2020,1796,208981
nation,England,E92000001,15/12/2020,1730,207185
nation,England,E92000001,14/12/2020,1746,205455
nation,England,E92000001,13/12/2020,1581,203709
nation,England,E92000001,12/12/2020,1587,202128
nation,England,E92000001,11/12/2020,1450,200541
nation,England,E92000001,10/12/2020,1524,199091
nation,England,E92000001,09/12/2020,1550,197567
nation,England,E92000001,08/12/2020,1528,196017
nation,England,E92000001,07/12/2020,1466,194489
nation,England,E92000001,06/12/2020,1311,193023
nation,England,E92000001,05/12/2020,1186,191712
nation,England,E92000001,04/12/2020,1248,190526
nation,England,E92000001,03/12/2020,1337,189278
nation,England,E92000001,02/12/2020,1262,187941
nation,England,E92000001,01/12/2020,1271,186679
nation,England,E92000001,30/11/2020,1216,185408
nation,England,E92000001,29/11/2020,1215,184192
nation,England,E92000001,28/11/2020,1065,182977
nation,England,E92000001,27/11/2020,1055,181912
nation,England,E92000001,26/11/2020,1198,180857
nation,England,E92000001,25/11/2020,1415,179659
nation,England,E92000001,24/11/2020,1277,178244
nation,England,E92000001,23/11/2020,1385,176967
nation,England,E92000001,22/11/2020,1333,175582
nation,England,E92000001,21/11/2020,1255,174249
nation,England,E92000001,20/11/2020,1316,172994
nation,England,E92000001,19/11/2020,1484,171678
nation,England,E92000001,18/11/2020,1571,170194
nation,England,E92000001,17/11/2020,1491,168623
nation,England,E92000001,16/11/2020,1560,167132
nation,England,E92000001,15/11/2020,1467,165572
nation,England,E92000001,14/11/2020,1388,164105
nation,England,E92000001,13/11/2020,1433,162717
nation,England,E92000001,12/11/2020,1666,161284
nation,England,E92000001,11/11/2020,1711,159618
nation,England,E92000001,10/11/2020,1592,157907
nation,England,E92000001,09/11/2020,1551,156315
nation,England,E92000001,08/11/2020,1488,154764
nation,England,E92000001,07/11/2020,1319,153276
nation,England,E92000001,06/11/2020,1182,151957
nation,England,E92000001,05/11/2020,1346,150775
nation,England,E92000001,04/11/2020,1382,149429
nation,England,E92000001,03/11/2020,1246,148047
nation,England,E92000001,02/11/2020,1331,146801
nation,England,E92000001,01/11/2020,1280,145470
nation,England,E92000001,31/10/2020,1240,144190
nation,England,E92000001,30/10/2020,1109,142950
nation,England,E92000001,29/10/2020,1345,141841
nation,England,E92000001,28/10/2020,1239,140496
nation,England,E92000001,27/10/2020,1190,139257
nation,England,E92000001,26/10/2020,1279,138067
nation,England,E92000001,25/10/2020,1186,136788
nation,England,E92000001,24/10/2020,990,135602
nation,England,E92000001,23/10/2020,997,134612
nation,England,E92000001,22/10/2020,987,133615
nation,England,E92000001,21/10/2020,997,132628
nation,England,E92000001,20/10/2020,925,131631
nation,England,E92000001,19/10/2020,861,130706
nation,England,E92000001,18/10/2020,870,129845
nation,England,E92000001,17/10/2020,785,128975
nation,England,E92000001,16/10/2020,632,128190
nation,England,E92000001,15/10/2020,792,127558
nation,England,E92000001,14/10/2020,706,126766
nation,England,E92000001,13/10/2020,764,126060
nation,England,E92000001,12/10/2020,664,125296
nation,England,E92000001,11/10/2020,628,124632
nation,England,E92000001,10/10/2020,515,124004
nation,England,E92000001,09/10/2020,544,123489
nation,England,E92000001,08/10/2020,513,122945
nation,England,E92000001,07/10/2020,491,122432
nation,England,E92000001,06/10/2020,524,121941
nation,England,E92000001,05/10/2020,472,121417
nation,England,E92000001,04/10/2020,478,120945
nation,England,E92000001,03/10/2020,386,120467
nation,England,E92000001,02/10/2020,371,120081
nation,England,E92000001,01/10/2020,368,119710
nation,England,E92000001,30/09/2020,328,119342
nation,England,E92000001,29/09/2020,310,119014
nation,England,E92000001,28/09/2020,308,118704
nation,England,E92000001,27/09/2020,241,118396
nation,England,E92000001,26/09/2020,245,118155
nation,England,E92000001,25/09/2020,274,117910
nation,England,E92000001,24/09/2020,288,117636
nation,England,E92000001,23/09/2020,314,117348
nation,England,E92000001,22/09/2020,268,117034
nation,England,E92000001,21/09/2020,275,116766
nation,England,E92000001,20/09/2020,237,116491
nation,England,E92000001,19/09/2020,204,116254
nation,England,E92000001,18/09/2020,205,116050
nation,England,E92000001,17/09/2020,199,115845
nation,England,E92000001,16/09/2020,183,115646
nation,England,E92000001,15/09/2020,194,115463
nation,England,E92000001,14/09/2020,172,115269
nation,England,E92000001,13/09/2020,153,115097
nation,England,E92000001,12/09/2020,143,114944
nation,England,E92000001,11/09/2020,135,114801
nation,England,E92000001,10/09/2020,143,114666
nation,England,E92000001,09/09/2020,136,114523
nation,England,E92000001,08/09/2020,99,114387
nation,England,E92000001,07/09/2020,84,114288
nation,England,E92000001,06/09/2020,85,114204
nation,England,E92000001,05/09/2020,94,114119
nation,England,E92000001,04/09/2020,67,114025
nation,England,E92000001,03/09/2020,69,113958
nation,England,E92000001,02/09/2020,79,113889
nation,England,E92000001,01/09/2020,58,113810
nation,England,E92000001,31/08/2020,52,113752
nation,England,E92000001,30/08/2020,38,113700
nation,England,E92000001,29/08/2020,52,113662
nation,England,E92000001,28/08/2020,44,113610
nation,England,E92000001,27/08/2020,69,113566
nation,England,E92000001,26/08/2020,52,113497
nation,England,E92000001,25/08/2020,60,113445
